ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
17856,/p66/m17856,בִּיבְּלִיוֹגְרַפִיָּה (אברהם משה לונץ. לוח־ארץ־ישראל),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17857,/p66/m17857,"מִ?ְּדֵה הַסִּפְרוּת ( תולדות המקובלים, השבתאים והחסידים לדוד כהנא)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17858,/p66/m17858,"מִ?ְּדֵה הַסִּפְרוּת (""דון יוסף נשיא"" ליוסף קלוזנר)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17859,/p66/m17859,"מִ?ְּדֵה הַסִּפְרוּת (""מולדת"")",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17860,/p66/m17860,"מִתּוֹךְ הַפִּנְקָס: (על ה""חדר"")",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17861,/p66/m17861,"בִּיבְּלִיוֹגְרַפִיָּה (“ספרותנו החדשה” לד""ר מ' רבינזון)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17862,/p601/m17862,איש חמודות או הפלאי,משה אורנשטיין,"",https://wikidata.org/wiki/Q98848141,"","",Translation missing: he.prose,לעמבערג
17863,/p601/m17863,דורש טוב לעמו,משה אורנשטיין,"",https://wikidata.org/wiki/Q98848141,"","",Translation missing: he.article,"דפוס: וינה, ?‎  C.M. HELLMANN?"
17864,/p601/m17864,בקורת ישראל,משה אורנשטיין,"",https://wikidata.org/wiki/Q98848141,"","",Translation missing: he.article,פראג : דפוס אלמנת ש. פרוינד ושותפה
17866,/p66/m17866,מיכאל קְרַמֶר: דרמה בארבע מערכות,גרהרט האופטמן,יוסף חיים ברנר,https://wikidata.org/wiki/Q43523,https://wikidata.org/wiki/Q939732,de,Translation missing: he.drama,יפו: יפת
17868,/p486/m17868,שימת עין,חיים יחיאל בורנשטיין,"",https://wikidata.org/wiki/Q7069107,"","",Translation missing: he.reference,""
17870,/p152/m17870,"על ""אבני בּהו""",יהושע פרידמן,"",https://wikidata.org/wiki/Q12407867,"","",Translation missing: he.article,על המשמר
17895,/p638/m17895,"רשויות, מכתמים וכתבות",לאופולד לעף; עמנואל לעף,"",https://wikidata.org/wiki/Q304031; https://wikidata.org/wiki/Q434073,"","",Translation missing: he.reference,ירושלים
17917,/p20/m17917,נז. אל אל אמת אין ערך,אברהם אבן עזרא,"",https://wikidata.org/wiki/Q270670,"","",Translation missing: he.poetry,האקדמיה הישראלית למדעים 
17918,/p20/m17918,נח. אל אל אין ערך,אברהם אבן עזרא,"",https://wikidata.org/wiki/Q270670,"","",Translation missing: he.poetry,האקדמיה הישראלית למדעים 
17928,/p20/m17928,ספר העצמים,אברהם אבן עזרא,"",https://wikidata.org/wiki/Q270670,"","",Translation missing: he.reference,מהדורת לונדון 
17929,/p165/m17929,שִׂיחָה בִּישִׁיבָה שֶׁל מַעֲלָה: חִזָּיוֹן,צבי אלעזר טלר,"",https://wikidata.org/wiki/Q12410809,"","",Translation missing: he.prose,דרוהוביץ': משה לינדנבוים
17930,/p165/m17930,זעקת שבר,צבי אלעזר טלר,"",https://wikidata.org/wiki/Q12410809,"","",Translation missing: he.article,""
17934,/p397/m17934,"תולדותי: כתובות בידי הרי""מ פינס עצמו",יחיאל מיכל פינס,"",https://wikidata.org/wiki/Q1686101,"","",Translation missing: he.memoir,תל־אביב: דביר
17935,/p397/m17935,"מאמרים בעניני ארץ־ישראל (תרמ""ה–תרס""ט)",יחיאל מיכל פינס,"",https://wikidata.org/wiki/Q1686101,"","",Translation missing: he.article,"תל־אביב: דביר, תרצ""ט 1938"
17944,/p164/m17944,רחשי ערב,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
17945,/p164/m17945,נכאים,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
17946,/p164/m17946,דברי חזון,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
